Slide,Section,Title,Source references,Notes / qualifications
1,01 / Product,Data Workbench,"[S05] source-codes/README.md — Current release 0.5.2
[S06] source-codes/USER_GUIDE.md — Source, diagnose, manage findings and RCA
[S04] documentation/Presentations/AI and Accelerators_Risk.pptx — Slide 4: visual structure only","Requested product name is Data Workbench. The repository also uses Archimedes, DQ Studio and Aegis Labs. This deck uses the requested name consistently. Current-state claims reflect the working tree on 07 September 2026, including uncommitted diagnostic changes. All visible elements are native editable PowerPoint text/shapes; no slide screenshots."
2,01 / Product,Turn data-quality signals into reviewable decisions,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework_Overview rows 2–8
[S06] source-codes/USER_GUIDE.md — Run a diagnostic; Manage findings and RCA
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — register","Five enabled IDs are 2, 6, 8, 11 and 14. ID 4 has code, UI and tests but workflow_pending blocks launch. IDs 12, 17 and 20 are registered workflow_pending. Counts are configuration/code findings, not deployment performance measures. Target outcomes are qualitative; no measured ROI is claimed."
3,01 / Product,Expose analytical risks before they become modeling problems,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework_Overview; Detailed_DQ_Framework risks
[S03] documentation/Presentations/DataQuality_Framework.pptx — Slides 2–3
[S06] source-codes/USER_GUIDE.md — Frozen manifest and issue workflow",Fragmented evidence is a problem inferred from the product architecture and traceability design. The source material explicitly describes analytical defects that generic DQ misses. No claim is made that every enterprise challenge is already solved by this release.
4,01 / Product,Build confidence through repeatable assessment and clear ownership,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework_Overview rows 2–7
[S21] source-codes/backend/domains/aar/README.md — Exact reuse and lineage
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — RemediationHandoff","No quantified efficiency, accuracy, compliance or production-readiness claim is made. Target use cases in the framework include risk/modeling and broader analytics; implemented D08/D11 knowledge is credit-risk-oriented."
5,01 / Framework,Use a governed framework across the assessment journey,"[S04] documentation/Presentations/AI and Accelerators_Risk.pptx — Slide 4: five numbered cards; service bands; semantic and deterministic foundations
[S06] source-codes/USER_GUIDE.md — Current workflow
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — Framework register
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion","This is the design-reference adaptation: five cream cards, coral ordinal markers, dark service headers, compact shared foundations and a dark conclusion band. The original agent counts, health-score claims and continuous monitoring language are not carried over. Stage 5 means manual reassessment on a new upload, not scheduled autonomous monitoring."
6,01 / Framework,Keep framework coverage distinct from executable coverage,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Detailed_DQ_Framework rows 2–12
[S08] source-codes/backend/knowledge_base/dq_framework_data.json — dimensions, coverage, register
[S23] source-codes/docs/architecture/phase1b-missingness.md — Supporting-investigation boundary","Current configuration retains thin/gap coverage semantics from the MVP framework. Multi-snapshot PSI and supporting missingness now exist even though older area-gap explanations remain. This slide presents the framework structure, not a completeness certificate. Third-party controls is the sixth theme, correcting the five-theme language in the older overview."
7,01 / People,Give each participant a clear purpose and handoff,"[S01] documentation/Presentations/DQ Framework_Analytics and Modeling.xlsx — Framework_Overview row 6
[S27] documentation/product/aegis-labs-product-spec.md — A2 Target Users & Personas
[S06] source-codes/USER_GUIDE.md — User workflow and administration
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — ConclusionForm and RemediationHandoff","Personas are synthesized from the named teams and implemented interactions. Executive sponsor and diagnostic owner are proposed operating responsibilities, not distinct application roles. IT/platform administrator, knowledge editor/reviewer and remediation owner have concrete product interactions. No persona-specific executive dashboard is asserted."
8,01 / Access,Apply the roles that the product actually enforces,"[S17] source-codes/backend/routers/admin.py — _require_admin; create_user recognized authz_roles
[S18] source-codes/backend/routers/auth.py — current_user and is_admin
[S19] source-codes/backend/kb.py — _require_role; publish and archive
[S20] source-codes/docs/rca/00-contracts.md — §13 deployment and authentication boundaries","Only user, admin, kb_editor and kb_reviewer are recognized authorization roles. Admin does not automatically inherit knowledge publication rights. Session-authenticated routes, D08 tenant controls and D11 setup controls must not be generalized into a fully verified per-asset authorization model. Core schema remains documented as single-tenant-per-deployment; end-to-end security hardening requires validation."
9,02 / Journey,Follow the evidence from source data to an approved conclusion,"[S06] source-codes/USER_GUIDE.md — Source and version data; Run a diagnostic; Manage findings and RCA
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — stageFor, ConclusionForm, RemediationHandoff
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion","Top row is a verified logical grouping of current capabilities, not literal database statuses. The manual extension uses available sourcing and launch features, but automatic post-remediation retest and closure enforcement are not evidenced. Cards below separate tracked remediation from RCA completion."
10,02 / Journey • 1–4,Prepare an active snapshot and make the run scope explicit,"[S06] source-codes/USER_GUIDE.md — Seven-step sourcing flow and diagnostic launch
[S22] source-codes/docs/architecture/data-sourcing-profiling-aar.md — Confirmation and publication sequence
[S11] source-codes/backend/dq_diagnostics/readiness.py — readiness
[S13] source-codes/backend/domains/test_lab/shared/run_state.py — draft and freeze lifecycle","This table groups the seven UI sourcing steps into stages 1 and 2 of the requested eleven-stage enterprise journey. Stage 3 is diagnostic configuration and stage 4 execution. Next transitions follow top to bottom. Owners are operating personas, not additional authz roles."
11,02 / Journey • 5–8,Turn calculation outputs into owned investigations,"[D02X] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/runner.py — Candidate persistence
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — Human review; no automatic issue creation
[D08R] source-codes/backend/domains/test_lab/diagnostics/t2_d08_value_semantics/README.md — Disposition
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Contextual findings
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — Contextual outcomes
[S14] source-codes/backend/ai/v2/issues.py — sync_diagnostic_issues, raise_issue
[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — RCA workflow","Enabled diagnostics 2, 6, 8, 11 and 14 require user confirmation of findings before issue creation. D04’s paused implementation auto-opens deterministic violations. Ownership/priority/date belong to optional tracked follow-up. They should not be presented as a mandatory approval queue for every analytical run."
12,02 / Journey • 9–11,Track remediation without overstating the closure control,"[S16] source-codes/ui/src/features/rca/components/RcaCase.jsx — ConclusionForm, RemediationHandoff
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion and _rerun_original_test
[S06] source-codes/USER_GUIDE.md — Tracking/closing does not rerun or modify data",Required enterprise journey stages 9–11 are shown with their implementation limits. Current RCA conclusion approval can precede an optional remediation handoff. A forced fix→retest→close workflow is not the product-facing MVP. Legacy fix services rerun a stored snapshot and are not evidence of validation against corrected production data.
13,02 / Lifecycle,"Keep run state, finding review and issue state separate","[S13] source-codes/backend/domains/test_lab/shared/run_state.py — DRAFT, RUNNING, DONE, FAILED, DISCARDED
[D06X] source-codes/backend/domains/test_lab/diagnostics/t2_d06_row_completeness/runner.py — review_state and finding workflow
[S14] source-codes/backend/ai/v2/issues.py — OPEN_STATUSES, close_issue, rca
[S15] source-codes/backend/domains/rca/service.py — approve_conclusion","Literal stored run states: draft, running, done, failed, discarded. Finding open→confirmed or dismissed requires rationale for enabled workflows. Issues use Open, In RCA, Escalated and Closed; historical Superseded entries are excluded from the normal register. These rows summarize supported paths, not one combined state machine."
14,02 / Review,"Distinguish evidence, findings and issues in every handoff","[D02R] source-codes/backend/domains/test_lab/diagnostics/t1_d02_feature_target_separation/README.md — Category versus issue rationale
[D11R] source-codes/backend/domains/test_lab/diagnostics/t2_d11_directional_monotonic_consistency/README.md — Expected-versus-observed comparison
[D14R] source-codes/backend/domains/test_lab/diagnostics/t4_d14_population_stability/README.md — PSI calculation
[S14] source-codes/backend/ai/v2/issues.py — Diagnostic issue materialization",
